,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,FUNCSTAT,2010,2011,2012,2013,2014,2015,2016
50,Monroeville,Monroeville,AL,Alabama,1101,Montgomery,32.2415,-86.2964,A,229554,229174,228708,227841,227193,226868,226349
51,Snowdoun,Snowdoun,AL,Alabama,1103,Morgan,34.3274,-86.7614,A,119610,119988,120123,119652,119602,119387,119012
52,Eva,Eva,AL,Alabama,1105,Perry,32.5362,-87.1797,A,10543,10518,10184,9995,9842,9683,9574
53,Suttle,Suttle,AL,Alabama,1107,Pickens,33.1237,-88.1594,A,19717,19366,19359,19370,20332,20827,20324
54,Aliceville,Aliceville,AL,Alabama,1109,Pike,31.7182,-86.1242,A,32964,32999,33113,33592,33020,33376,33286
55,Goshen,Goshen,AL,Alabama,1111,Randolph,33.2682,-85.4569,A,22893,22807,22623,22629,22468,22703,22652
56,Tennant,Tennant,AL,Alabama,1113,Russell,32.1882,-85.1633,A,53305,54891,57626,59240,59282,58858,58172
57,Pittsview,Pittsview,AL,Alabama,1115,St. Clair,33.7643,-86.4749,A,83816,84351,85168,86225,86482,86986,88019
58,Springville,Springville,AL,Alabama,1117,Shelby,33.1068,-86.5825,A,196053,197975,200789,203825,205990,208527,210622
59,Shelby,Shelby,AL,Alabama,1119,Sumter,32.9477,-88.2674,A,13742,13512,13448,13409,13283,13244,13040
60,Panola,Panola,AL,Alabama,1121,Talladega,33.4329,-86.0976,A,82077,81847,81941,81277,81216,80749,80103
61,Talladega,Talladega,AL,Alabama,1123,Tallapoosa,32.5788,-85.8189,A,41512,41459,41144,41139,41027,40755,40727
62,Reeltown,Reeltown,AL,Alabama,1125,Tuscaloosa,33.2904,-87.1981,A,194996,196696,198581,200681,202671,204321,206102
63,Abernant,Abernant,AL,Alabama,1127,Walker,33.7503,-87.0483,A,67006,66661,66211,65934,65564,65291,64967
64,Sumiton,Sumiton,AL,Alabama,1129,Washington,31.4836,-88.1513,A,17612,17336,17115,16881,16891,16901,16756
65,Hobson,Hobson,AL,Alabama,1131,Wilcox,32.0046,-87.0072,A,11562,11482,11355,11194,11028,11030,10986
66,Snow Hill,Snow Hill,AL,Alabama,1133,Winston,34.0904,-87.6014,A,24402,24334,24171,24150,24083,23854,23805
67,Natural Bridge,Natural Bridge,AK,Alaska,2013,Aleutians East,55.0889,-162.0306,A,3169,3251,3285,3302,3296,3317,3296
68,Port Moller,Port Moller,AK,Alaska,2016,Aleutians West,53.8269,-166.2081,A,5546,5586,5688,5715,5780,5739,5647
69,Chernofski,Chernofski,AK,Alaska,2020,Anchorage,61.1886,-149.9064,A,293415,296397,298527,301143,300429,298312,298192
70,Chugiak,Chugiak,AK,Alaska,2050,Bethel,60.5333,-165.1557,A,17078,17466,17695,17865,17959,17940,17968
71,Napakiak,Napakiak,AK,Alaska,2060,Bristol Bay,58.753,-156.5061,A,1003,1037,983,954,942,892,898
72,Naknek,Naknek,AK,Alaska,2068,Denali,63.9454,-149.0152,A,1833,1875,1913,1940,1907,1913,1953
73,Suntrana,Suntrana,AK,Alaska,2070,Dillingham,58.9049,-157.669,A,4855,4963,4963,4994,4989,4999,4954
74,Nushagak,Nushagak,AK,Alaska,2090,Fairbanks North Star,64.7808,-148.5297,A,98293,98100,100330,100879,99295,99639,100605
75,Chatanika,Chatanika,AK,Alaska,2100,Haines,59.1517,-135.3584,A,2500,2572,2572,2551,2537,2484,2496
76,Haines,Haines,AK,Alaska,2105,Hoonah-Angoon,58.0653,-135.42,A,2135,2111,2131,2128,2081,2118,2078
77,Game Creek,Game Creek,AK,Alaska,2110,Juneau,58.4103,-134.7558,A,31392,32175,32434,32604,32511,32603,32468
78,Auke Bay,Auke Bay,AK,Alaska,2122,Kenai Peninsula,60.7506,-149.3697,A,55570,56369,56952,57059,57626,58044,58506
79,Seldovia,Seldovia,AK,Alaska,2130,Ketchikan Gateway,55.3232,-131.5893,A,13539,13639,13711,13673,13758,13689,13746
80,Loring,Loring,AK,Alaska,2150,Kodiak Island,57.7934,-152.4059,A,13652,13807,14051,14066,13953,13789,13732
81,Uyak,Uyak,AK,Alaska,2158,Kusilvak,61.7824,-161.3567,A,7464,7657,7792,7950,8063,8109,8049
82,Chaniliut,Chaniliut,AK,Alaska,2164,Lake and Peninsula,59.9711,-154.8626,A,1638,1652,1644,1654,1628,1567,1562
83,Chignik Lagoon,Chignik Lagoon,AK,Alaska,2170,Matanuska-Susitna,62.2753,-150.0814,A,89766,91831,93791,95923,98196,101120,104365
84,Gateway,Gateway,AK,Alaska,2180,Nome,64.3573,-161.1983,A,9536,9834,9873,9897,9834,9875,9917
85,Shishmaref,Shishmaref,AK,Alaska,2185,North Slope,70.2135,-150.9897,A,9467,9536,9662,9741,9708,9690,9606
86,Utqiaġvik,Utqiagvik,AK,Alaska,2188,Northwest Arctic,66.5988,-159.9996,A,7542,7722,7721,7714,7744,7764,7673
87,Red Dog Mine,Red Dog Mine,AK,Alaska,2195,Petersburg Borough,56.7567,-132.8727,A,3217,3246,3263,3245,3175,3149,3149
88,Hobart Bay,Hobart Bay,AK,Alaska,2198,Prince of Wales-Hyder,55.0617,-131.5417,A,6212,6378,6375,6394,6393,6360,6347
89,Cape Pole,Cape Pole,AK,Alaska,2220,Sitka,56.2969,-134.6617,A,8898,8907,9048,9001,8883,8844,8830
90,Sitka,Sitka,AK,Alaska,2230,Skagway,59.4566,-135.2928,A,965,958,990,1004,1031,1058,1088
